coin_id,coin_name,coin_code,info_url,price,h1,h24,d7,h24_volume,market_cap,sparkline_url,market_per_trade
12648,Polkastarter,POLS,https://www.coingecko.com/en/coins/polkastarter,1.83,-0.1,7.5,-2.7,20791540,134481267,https://www.coingecko.com/coins/12648/sparkline,0.15460547378691786
9545,Band Protocol,BAND,https://www.coingecko.com/en/coins/band-protocol,8.99,0.8,7.5,5.4,47932175,314416354,https://www.coingecko.com/coins/9545/sparkline,0.15244809753121175
14917,Ampleforth Governance Token,FORTH,https://www.coingecko.com/en/coins/ampleforth-governance-token,19.08,-0.4,2.3,7.5,24708108,164095521,https://www.coingecko.com/coins/14917/sparkline,0.1505714954888988
3994,Carry,CRE,https://www.coingecko.com/en/coins/carry,0.011769021254,0.1,8.5,4.9,15083547,101820005,https://www.coingecko.com/coins/3994/sparkline,0.1481393268444644
1087,Bytom,BTM,https://www.coingecko.com/en/coins/bytom,0.076589818534,-0.7,3.2,-18.5,19111376,130271885,https://www.coingecko.com/coins/1087/sparkline,0.14670376497584264
3296,Origin Protocol,OGN,https://www.coingecko.com/en/coins/origin-protocol,1.06,0.1,7.4,0,51281742,363645736,https://www.coingecko.com/coins/3296/sparkline,0.14102115582072988
8545,MX Token,MX,https://www.coingecko.com/en/coins/mx-token,1.25,-1.1,8.6,49.9,17052737,125002443,https://www.coingecko.com/coins/8545/sparkline,0.13641922982257235
1374,Medibloc,MED,https://www.coingecko.com/en/coins/medibloc,0.080976497071,0.4,10.9,5.2,59357961,436347035,https://www.coingecko.com/coins/1374/sparkline,0.1360338360039504
13330,Terra Virtua Kolect,TVK,https://www.coingecko.com/en/coins/terra-virtua-kolect,0.307801,-0.8,6.4,10.1,18051595,134930160,https://www.coingecko.com/coins/13330/sparkline,0.13378472981874476
11683,Balancer,BAL,https://www.coingecko.com/en/coins/balancer,27.11,-0.3,5.4,-8,38704377,292863152,https://www.coingecko.com/coins/11683/sparkline,0.13215857555203803
3849,QuarkChain,QKC,https://www.coingecko.com/en/coins/quarkchain,0.022134905922,0.8,11.4,7.6,18687829,144276871,https://www.coingecko.com/coins/3849/sparkline,0.12952754568679273
13245,SKALE,SKL,https://www.coingecko.com/en/coins/skale,0.351147,-1,13.3,5.3,54991452,425205826,https://www.coingecko.com/coins/13245/sparkline,0.1293290181776578
12478,Bella Protocol,BEL,https://www.coingecko.com/en/coins/bella-protocol,2.63,0.2,8.4,10.2,15677333,126029449,https://www.coingecko.com/coins/12478/sparkline,0.12439420408796677
11555,Dawn Protocol,DAWN,https://www.coingecko.com/en/coins/dawn-protocol,4,-0.3,7.4,1.9,35047566,282552294,https://www.coingecko.com/coins/11555/sparkline,0.12403921944445441
5247,Metadium,META,https://www.coingecko.com/en/coins/metadium,0.129053,1.3,10.1,2.5,25403575,211290333,https://www.coingecko.com/coins/5247/sparkline,0.120230654376412
12738,Alpha Finance,ALPHA,https://www.coingecko.com/en/coins/alpha-finance,1.13,0.3,7.6,9.2,54011230,454000087,https://www.coingecko.com/coins/12738/sparkline,0.11896744416262633
13970,Quickswap,QUICK,https://www.coingecko.com/en/coins/quickswap,620.71,-0.1,3.2,-14.4,26597594,224163371,https://www.coingecko.com/coins/13970/sparkline,0.11865272136722105
12811,BarnBridge,BOND,https://www.coingecko.com/en/coins/barnbridge,31.18,1,-0.5,8.6,15173273,130002196,https://www.coingecko.com/coins/12811/sparkline,0.1167155130210262
